PR,URL,Title,Content type,Is rendered page,HTTP status code,Organic traffic,Referenced in sitemaps,No. of href inlinks,No. of redirect inlinks,No. of canonical inlinks,No. of hreflang inlinks,No. of pagination inlinks,No. of CSS inlinks,No. of IMG inlinks,No. of JS inlinks
20,https://www.birminghamboilerrepairs.uk/boldmere/alpha-boiler-specialists,Boldmere Alpha Specialists | Same Day Service | Fixed Price Quote,text/html; charset=utf-8,false,200,0,"https://birminghamboilerrepairs.uk/sitemap.xml
https://www.birminghamboilerrepairs.uk/sitemap.xml",0,0,0,0,0,0,0,0
20,https://www.birminghamboilerrepairs.uk/gravelly-hill/vokera-specialists,Gravelly Hill Vokera Specialists | Same Day Service | Fixed Price Quote,text/html; charset=utf-8,false,200,0,"https://birminghamboilerrepairs.uk/sitemap.xml
https://www.birminghamboilerrepairs.uk/sitemap.xml",0,0,0,0,0,0,0,0
20,https://www.birminghamboilerrepairs.uk/bromford/ariston-specialists,Bromford Ariston Specialists | Same Day Service | Fixed Price Quote,text/html; charset=utf-8,false,200,0,"https://birminghamboilerrepairs.uk/sitemap.xml
https://www.birminghamboilerrepairs.uk/sitemap.xml",0,0,0,0,0,0,0,0
20,https://www.birminghamboilerrepairs.uk/churchfield/heatline-specialists,Churchfield Heatline Specialists | Same Day Service | Fixed Price Quote,text/html; charset=utf-8,false,200,0,"https://birminghamboilerrepairs.uk/sitemap.xml
https://www.birminghamboilerrepairs.uk/sitemap.xml",0,0,0,0,0,0,0,0
20,https://www.birminghamboilerrepairs.uk/four-oaks/vokera-specialists,Four Oaks Vokera Specialists | Same Day Service | Fixed Price Quote,text/html; charset=utf-8,false,200,0,"https://birminghamboilerrepairs.uk/sitemap.xml
https://www.birminghamboilerrepairs.uk/sitemap.xml",0,0,0,0,0,0,0,0
20,https://www.birminghamboilerrepairs.uk/cotteridge/alpha-boiler-specialists,Cotteridge Alpha Specialists | Same Day Service | Fixed Price Quote,text/html; charset=utf-8,false,200,0,"https://birminghamboilerrepairs.uk/sitemap.xml
https://www.birminghamboilerrepairs.uk/sitemap.xml",0,0,0,0,0,0,0,0
20,https://www.birminghamboilerrepairs.uk/birmingham/main-boiler-specialists,Birmingham Main Specialists | Same Day Service | Fixed Price Quote,text/html; charset=utf-8,false,200,0,"https://birminghamboilerrepairs.uk/sitemap.xml
https://www.birminghamboilerrepairs.uk/sitemap.xml",0,0,0,0,0,0,0,0
20,https://www.birminghamboilerrepairs.uk/castle-vale/ideal-boilers-specialists,Castle Vale Ideal Boilers Specialists | Same Day Service | Fixed Price Quote,text/html; charset=utf-8,false,200,0,"https://birminghamboilerrepairs.uk/sitemap.xml
https://www.birminghamboilerrepairs.uk/sitemap.xml",0,0,0,0,0,0,0,0
20,https://www.birminghamboilerrepairs.uk/camp-hill/atag-specialists,Camp Hill Atag Specialists | Same Day Service | Fixed Price Quote,text/html; charset=utf-8,false,200,0,"https://birminghamboilerrepairs.uk/sitemap.xml
https://www.birminghamboilerrepairs.uk/sitemap.xml",0,0,0,0,0,0,0,0
20,https://www.birminghamboilerrepairs.uk/boldmere/atag-specialists,Boldmere Atag Specialists | Same Day Service | Fixed Price Quote,text/html; charset=utf-8,false,200,0,"https://birminghamboilerrepairs.uk/sitemap.xml
https://www.birminghamboilerrepairs.uk/sitemap.xml",0,0,0,0,0,0,0,0
20,https://www.birminghamboilerrepairs.uk/glebe-farm/vaillant-specialists,Glebe Farm Vaillant Specialists | Same Day Service | Fixed Price Quote,text/html; charset=utf-8,false,200,0,"https://birminghamboilerrepairs.uk/sitemap.xml
https://www.birminghamboilerrepairs.uk/sitemap.xml",0,0,0,0,0,0,0,0
20,https://www.birminghamboilerrepairs.uk/falcon-lodge/viessmann-specialists,Falcon Lodge Viessmann Specialists | Same Day Service | Fixed Price Quote,text/html; charset=utf-8,false,200,0,"https://birminghamboilerrepairs.uk/sitemap.xml
https://www.birminghamboilerrepairs.uk/sitemap.xml",0,0,0,0,0,0,0,0
20,https://www.birminghamboilerrepairs.uk/bordesley-green/ideal-boilers-specialists,Bordesley Green Ideal Boilers Specialists | Same Day Service | Fixed Price Quote,text/html; charset=utf-8,false,200,0,"https://birminghamboilerrepairs.uk/sitemap.xml
https://www.birminghamboilerrepairs.uk/sitemap.xml",0,0,0,0,0,0,0,0
20,https://www.birminghamboilerrepairs.uk/brandwood-end/vokera-specialists,Brandwood End Vokera Specialists | Same Day Service | Fixed Price Quote,text/html; charset=utf-8,false,200,0,"https://birminghamboilerrepairs.uk/sitemap.xml
https://www.birminghamboilerrepairs.uk/sitemap.xml",0,0,0,0,0,0,0,0
20,https://www.birminghamboilerrepairs.uk/gib-heath/main-boiler-specialists,Gib Heath Main Specialists | Same Day Service | Fixed Price Quote,text/html; charset=utf-8,false,200,0,"https://birminghamboilerrepairs.uk/sitemap.xml
https://www.birminghamboilerrepairs.uk/sitemap.xml",0,0,0,0,0,0,0,0
20,https://www.birminghamboilerrepairs.uk/bordesley/atag-specialists,Bordesley Atag Specialists | Same Day Service | Fixed Price Quote,text/html; charset=utf-8,false,200,0,"https://birminghamboilerrepairs.uk/sitemap.xml
https://www.birminghamboilerrepairs.uk/sitemap.xml",0,0,0,0,0,0,0,0
20,https://www.birminghamboilerrepairs.uk/frankley/glowworm-specialists,Frankley Glow-worm Specialists | Same Day Service | Fixed Price Quote,text/html; charset=utf-8,false,200,0,"https://birminghamboilerrepairs.uk/sitemap.xml
https://www.birminghamboilerrepairs.uk/sitemap.xml",0,0,0,0,0,0,0,0
